"sku","product_name_in_store","vendor","price_found","source_url","notes"
"9169","פרוז'קטור לד מקצועי 600W כולל זרוע תלייה מתכוננת IP-65 גוון אור לבן FETAYA","פתיה","","",""
"9113","מסגרת הגבהה לכל סוגי הפנלים FETAYA","פתיה","","",""
"9092","גוף תאורה עגול לד ORI הספק 26W מוגן IP53 גוון אור קר FETAYA","פתיה","","",""
"9027","גוף תאורה מלבני לד RAVID התאמה לנורה 2XE-27/LED מוגן IP54 FETAYA","פתיה","","",""
"90285","גוף תאורה עגול לד ליאהל'ה עם כבל ומפסק התאמה לנורה E-27/LED מוגן IP23 FETAYA","פתיה","","",""
"90680B","גוף תאורה שבילית לד מלבני הספק 4.4W מוגן IP65 גוון אור חם בצבע בזלת FETAYA","פתיה","","",""
"9068B","גוף תאורה שבילית לד מלבני הספק 4.4W מוגן IP65 גוון אור קר בצבע בזלת FETAYA","פתיה","","",""
"90680G","גוף תאורה שבילית לד מלבני הספק 4.4W מוגן IP65 גוון אור חם בצבע אפור FETAYA","פתיה","","",""
"92095","גוף תאורה זוותי KEREN LED בצבע אפור גוון אור שתנה 3CCT FETAYA","פתיה","","",""
"9209","גוף תאורה זוותי KEREN LED בצבע אפור גוון אור קר FETAYA","פתיה","","",""
"92091","גוף תאורה זוותי KEREN LED בצבע אפור גוון אור טבעי FETAYA","פתיה","","",""
"9213","גוף תאורה זוותי KEREN LED בצבע בזלת גוון אור קר FETAYA","פתיה","","",""
"92121","גוף תאורה זוותי KEREN LED בצבע לבן גוון אור טבעי FETAYA","פתיה","","",""
"92131","גוף תאורה זוותי KEREN LED בצבע בזלת גוון אור טבעי FETAYA","פתיה","","",""
"92301","גוף תאורת לד זוויתי AURA בצבע אפור גוון אור טבעי FETAYA","פתיה","","",""
"92320","גוף תאורת לד זוויתי AURA בצבע בזלת גוון אור חם FETAYA","פתיה","","",""
"9232","גוף תאורת לד זוויתי AURA בצבע בזלת גוון אור קר FETAYA","א.נ. שילו בע""מ","","",""
"92311","גוף תאורת לד זוויתי AURA בצבע לבן גוון אור טבעי FETAYA","א.נ. שילו בע""מ","","",""
"92360","גוף תאורה לאמבטיה AGAM הספק 15W מוגן IP44 גוון אור חם FETAYA","פתיה","","",""
"92321","גוף תאורת לד זוויתי AURA בצבע בזלת גוון אור טבעי FETAYA","פתיה","","",""
"5601","שקע TV-FV YARDEN בצבע לבן FETAYA","פתיה","","",""
"5614","שקע מחשב RJ-45 YARDEN בצבע לבן FETAYA","פתיה","","",""
"5618","שקע כח P1M עם מאמ""ת- מחווט YARDEN בצבע לבן מתח/זרם 230V/16A FETAYA","פתיה","","",""
